caseid,time,activity
75,13994,arrival
75,13994,join_queue
75,13994,begin_service
76,14033,arrival
76,14033,join_queue
76,14033,begin_service
77,14075,arrival
77,14075,join_queue
75,14097,end_service
77,14097,begin_service
76,14121,end_service
77,14157,end_service
74,14168,end_service
78,14258,arrival
78,14258,join_queue
78,14258,begin_service
78,14337,end_service
79,14457,arrival
79,14457,join_queue
79,14457,begin_service
80,14647,arrival
80,14647,join_queue
80,14647,begin_service
81,14706,arrival
81,14706,join_queue
81,14706,begin_service
80,14707,end_service
79,14757,end_service
81,14766,end_service
82,15740,arrival
82,15740,join_queue
82,15740,begin_service
82,15836,end_service
83,15965,arrival
83,15965,join_queue
83,15965,begin_service
83,16025,end_service
84,16319,arrival
84,16319,join_queue
84,16319,begin_service
84,16379,end_service
85,16559,arrival
85,16559,join_queue
85,16559,begin_service
86,16645,arrival
86,16645,join_queue
86,16645,begin_service
86,16705,end_service
85,16764,end_service
87,16772,arrival
87,16772,join_queue
87,16772,begin_service
87,16832,end_service
88,17417,arrival
88,17417,join_queue
88,17417,begin_service
88,17477,end_service
89,17525,arrival
89,17525,join_queue
89,17525,begin_service
90,17530,arrival
90,17530,join_queue
90,17530,begin_service
89,17585,end_service
90,17590,end_service
91,17598,arrival
91,17598,join_queue
91,17598,begin_service
91,17658,end_service
92,17925,arrival
92,17925,join_queue
92,17925,begin_service
92,17985,end_service
93,18449,arrival
93,18449,join_queue
93,18449,begin_service
93,18509,end_service
94,18779,arrival
94,18779,join_queue
94,18779,begin_service
95,18793,arrival
95,18793,join_queue
95,18793,begin_service
94,18839,end_service
96,18939,arrival
96,18939,join_queue
96,18939,begin_service
96,19079,end_service
95,19093,end_service
97,19321,arrival
97,19321,join_queue
97,19321,begin_service
98,19370,arrival
98,19370,join_queue
98,19370,begin_service
98,19430,end_service
97,19490,end_service
99,19799,arrival
99,19799,join_queue
99,19799,begin_service
100,19802,arrival
100,19802,join_queue
100,19802,begin_service
100,19862,end_service
99,19970,end_service
101,20270,arrival
101,20270,join_queue
101,20270,begin_service
101,20330,end_service
102,21095,arrival
102,21095,join_queue
102,21095,begin_service
102,21155,end_service
103,21277,arrival
103,21277,join_queue
103,21277,begin_service
103,21353,end_service
104,21498,arrival
104,21498,join_queue
104,21498,begin_service
105,21614,arrival
105,21614,join_queue
105,21614,begin_service
104,21629,end_service
106,21725,arrival
106,21725,join_queue
106,21725,begin_service
106,21785,end_service
107,21795,arrival
107,21795,join_queue
107,21795,begin_service
108,21843,arrival
108,21843,join_queue
108,21843,begin_service
105,21905,end_service
109,21917,arrival
109,21917,join_queue
109,21917,begin_service
107,22031,end_service
109,22131,end_service
108,22143,end_service
110,22153,arrival
110,22153,join_queue
110,22153,begin_service
110,22213,end_service
111,22379,arrival
111,22379,join_queue
111,22379,begin_service
111,22608,end_service
112,22647,arrival
112,22647,join_queue
112,22647,begin_service
112,22947,end_service
113,23020,arrival
113,23020,join_queue
113,23020,begin_service
114,23049,arrival
114,23049,join_queue
114,23049,begin_service
113,23084,end_service
115,23087,arrival
115,23087,join_queue
115,23087,begin_service
116,23174,arrival
116,23174,join_queue
116,23174,begin_service
117,23240,arrival
117,23240,join_queue
116,23314,end_service
117,23314,begin_service
114,23320,end_service
118,23358,arrival
118,23358,join_queue
118,23358,begin_service
115,23387,end_service
118,23418,end_service
117,23448,end_service
119,23507,arrival
119,23507,join_queue
119,23507,begin_service
119,23668,end_service
120,23792,arrival
120,23792,join_queue
120,23792,begin_service
120,23852,end_service
121,23876,arrival
121,23876,join_queue
121,23876,begin_service
121,24046,end_service
122,24090,arrival
122,24090,join_queue
122,24090,begin_service
122,24150,end_service
123,24245,arrival
123,24245,join_queue
123,24245,begin_service
124,24300,arrival
124,24300,join_queue
124,24300,begin_service
123,24351,end_service
124,24372,end_service
125,24525,arrival
125,24525,join_queue
125,24525,begin_service
125,24585,end_service
126,24753,arrival
126,24753,join_queue
126,24753,begin_service
126,24813,end_service
127,24962,arrival
127,24962,join_queue
127,24962,begin_service
127,25022,end_service
128,25117,arrival
128,25117,join_queue
128,25117,begin_service
129,25147,arrival
129,25147,join_queue
129,25147,begin_service
130,25158,arrival
130,25158,join_queue
130,25158,begin_service
128,25201,end_service
129,25207,end_service
130,25253,end_service
131,25509,arrival
131,25509,join_queue
131,25509,begin_service
131,25609,end_service
132,25696,arrival
132,25696,join_queue
132,25696,begin_service
133,25719,arrival
133,25719,join_queue
133,25719,begin_service
133,25779,end_service
132,25814,end_service
134,25937,arrival
134,25937,join_queue
134,25937,begin_service
134,26085,end_service
135,26365,arrival
135,26365,join_queue
135,26365,begin_service
136,26435,arrival
136,26435,join_queue
136,26435,begin_service
136,26495,end_service
135,26665,end_service
137,26908,arrival
137,26908,join_queue
137,26908,begin_service
138,26919,arrival
138,26919,join_queue
138,26919,begin_service
137,26968,end_service
138,26979,end_service
139,27276,arrival
139,27276,join_queue
139,27276,begin_service
139,27336,end_service
140,27792,arrival
140,27792,join_queue
140,27792,begin_service
140,27978,end_service
141,28162,arrival
141,28162,join_queue
141,28162,begin_service
142,28206,arrival
142,28206,join_queue
142,28206,begin_service
141,28255,end_service
142,28266,end_service
143,28735,arrival
143,28735,join_queue
143,28735,begin_service
143,28795,end_service
144,29229,arrival
144,29229,join_queue
144,29229,begin_service
145,29246,arrival
145,29246,join_queue
145,29246,begin_service
144,29289,end_service
145,29306,end_service
146,29416,arrival
146,29416,join_queue
146,29416,begin_service
146,29630,end_service
147,29854,arrival
147,29854,join_queue
147,29854,begin_service
147,29914,end_service
148,30376,arrival
148,30376,join_queue
148,30376,begin_service
148,30516,end_service
149,30657,arrival
149,30657,join_queue
149,30657,begin_service
150,30660,arrival
150,30660,join_queue
150,30660,begin_service
150,30720,end_service
149,30771,end_service
151,31073,arrival
151,31073,join_queue
151,31073,begin_service
152,31075,arrival
152,31075,join_queue
152,31075,begin_service
153,31151,arrival
153,31151,join_queue
153,31151,begin_service
154,31181,arrival
154,31181,join_queue
152,31192,end_service
154,31192,begin_service
153,31211,end_service
155,31250,arrival
155,31250,join_queue
155,31250,begin_service
155,31310,end_service
151,31373,end_service
156,31388,arrival
156,31388,join_queue
156,31388,begin_service
154,31416,end_service
156,31448,end_service
157,31511,arrival
157,31511,join_queue
157,31511,begin_service
158,31574,arrival
158,31574,join_queue
158,31574,begin_service
158,31691,end_service
157,31765,end_service
159,31850,arrival
159,31850,join_queue
159,31850,begin_service
159,31910,end_service
160,31980,arrival
160,31980,join_queue
160,31980,begin_service
160,32131,end_service
161,32196,arrival
161,32196,join_queue
161,32196,begin_service
162,32427,arrival
162,32427,join_queue
162,32427,begin_service
161,32448,end_service
162,32487,end_service
163,32664,arrival
163,32664,join_queue
163,32664,begin_service
164,32767,arrival
164,32767,join_queue
164,32767,begin_service
165,32824,arrival
165,32824,join_queue
165,32824,begin_service
163,32847,end_service
164,32853,end_service
165,32934,end_service
166,32946,arrival
166,32946,join_queue
166,32946,begin_service
166,33008,end_service
167,33176,arrival
167,33176,join_queue
167,33176,begin_service
167,33257,end_service
168,33468,arrival
168,33468,join_queue
168,33468,begin_service
168,33542,end_service
169,33611,arrival
169,33611,join_queue
169,33611,begin_service
169,33671,end_service
170,33722,arrival
170,33722,join_queue
170,33722,begin_service
171,33750,arrival
171,33750,join_queue
171,33750,begin_service
171,33810,end_service
170,33856,end_service
172,33863,arrival
172,33863,join_queue
172,33863,begin_service
172,34008,end_service
173,34009,arrival
173,34009,join_queue
173,34009,begin_service
173,34140,end_service
174,34293,arrival
174,34293,join_queue
174,34293,begin_service
174,34415,end_service
175,34644,arrival
175,34644,join_queue
175,34644,begin_service
176,34730,arrival
176,34730,join_queue
176,34730,begin_service
176,34790,end_service
175,34805,end_service
177,34972,arrival
177,34972,join_queue
177,34972,begin_service
178,34985,arrival
178,34985,join_queue
178,34985,begin_service
177,35032,end_service
178,35047,end_service
179,35260,arrival
179,35260,join_queue
179,35260,begin_service
180,35311,arrival
180,35311,join_queue
180,35311,begin_service
179,35320,end_service
180,35371,end_service
181,35445,arrival
181,35445,join_queue
181,35445,begin_service
181,35505,end_service
182,35778,arrival
182,35778,join_queue
182,35778,begin_service
182,35852,end_service
183,35888,arrival
183,35888,join_queue
183,35888,begin_service
184,35940,arrival
184,35940,join_queue
184,35940,begin_service
